1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88
Audio Input	Audio Output	Midi Notes In	Midi CC in	Midi Pressure	Midi Clock In	Midi CC out	Midi PC out	Midi Note Out	Stompswitch	Pixel	UI Button	Pushbutton	Keyboard	Cport Exp/CV in	Cport CV  out	Oscillator	VCA	SV Filter	Multi-Filter	Delay Line	Delay Line (Tap Tempo mode)	Audio Panner	Pitch Shifter	Audio Balance	Audio Balance (Stereo mode)	Audio Mixer	Inverter	Audio In Switch	Audio Out Switch	All Pass Filter	Noise	Audio Multiply	Bit Crusher	Aliaser	1 Buffer Delay	Looper	Granular	Stereo Spread(Haas)	Stereo Spread (Mid Side)	Bit Modulator	Diffuser	LFO	Sequencer	ADSR	Sample and Hold	CV Invert	CV Rectify	Value	Trigger	CV Flip Flop	CV Delay	CV Loop	CV Filter	Slew Limiter	Slew Limiter (Separated rise/fall)	Clock Divider	Comparator	In Switch	Out Switch	Quantizer	Steps	Multiplier	Random	Rhythm	Onset Detector	Env Follower	Pitch Detector	Tone Control	Delay w/Mod	Ping Pong Delay	OD & Distortion	Fuzz	Compressor	Gate	Plate Reverb	Hall Reverb	Room Reverb	Ghostverb	Reverb Lite	Phaser	Chorus	Vibrato	Flanger	Tremolo	Env Filter	Ring Modulator	Cabinet Sim
Connect audio from the outside world into the grid. This could be a guitar, bass, synth module, computer audio, etc 	Connect audio from your ZOIA into the outside world. Connect to your amplifier, a DI box, your audio interface, etc. An optional gain control lets you tweak the output level. 	Connect your MIDI keyboard controller to the ZOIA. Connect the note out to an oscillator to have it play your note, and connect the gate out to an ADSR (connected to a VCA) for a natural envelope. 	Connect encoder knobs and sliders on a MIDI interface. Take note of the outgoing CC number of each control and enter it into the controller option. 	Many MIDI keyboards have an aftertouch feature that can be triggered by pressing down on a note after it's fully depressed. You can use after touch to trigger a little extra pizazz in your sound. 	Connect MIDI clock to sync your patches to the outside world. 	Send Control Change messages to external MIDI enabled gear through ZOIA's MIDI outputs. 	Send Program Change messages to external MIDI enabled gear. Select the Program Change value and send a CV signal to trigger in to send message through ZOIA's MIDI outputs. 	Send MIDI notes out to external MIDI enabled gear through ZOIA's MIDI outputs. 	"Use this module to connect a stomp switch to other modules. This can be any of ZOIA's 3 stomp switches or an external one. If using an external, remember to set it up in the Config Menu. Once placed, the Scroll and Bypass stomp switches must be ""switched to"" by holding them both on together for 2 seconds, this will allow them to function in the modules instead of as ZOIA's main user interface. Hold again for 2 seconds to switch back. "	Puts a coloured block on the grid. The brightness can be controlled by a cv signal or an audio signal. Pixel is a simple, elegant way to create a more visually interactive user interface for your patch. 	UI Button can function in a couple different ways. It can show you a specific colour at a specific brightness based on the setting of input parameter. Blue = 0 to 0.099 (0 to 0.74 brightness control), Green = 0.1 to 0.199 (0.1 to 0.174 brightness), Red = 0.2 to 0.299 (0.2 to 0.274 brightness), Yellow = 0.3 to 0.399 (0.3 to 0.374 brightness), Cyan = 0.4 to 0.499 (0.4 to 0.474 brightness), Magenta = 0.5 to 0.599 (0.5 to 0.574 brightness), White = 0.6 to 0.699 (0.6 to 0.674 brightness). To use as a CV indicator, decide which colour you'd like and set the input as the decimal value associate with that colour. Then connect it to a CV output (range 0 - 1) with a connection strength of 7.4 percent. This module can also be used as a pushbutton with the optional CV output parameter 	Turns a grid button into a button you can push to send a CV signal. Tap in a tempo, open up a VCA, trigger a sequencer, or anything else. The grid is your oyster! 	Turns grid buttons into a keyboard you can connect to an oscillator and play. No external MIDI controller necessary! Tune each keyboard button using the knob to have it play your desired note. 	Connect your expression pedal or a control voltage signal from an external source. Remember to set CPort to either exp or cv in the Config Menu. 	"This module interprets internal CV and sends it down the ring of a 1/4"" TRS connector in the control port as a standard CV signal of 0-5 volts. Remember to set CPort to cv in the Config Menu. "	Generates an audio signal in the waveform of your choice. Connect a MIDI device, keyboard module, sequencer, pitch detector, LFO, or any CV source to select the frequency or note the oscillator will play. You can modulate the frequency or pulse width with the optional parameters. 	The Voltage Controlled Amplifier module will interpret incoming CV at the level control and boost or cut the volume. Connect an ADSR to create a natural sounding envelope for an oscillator passing through. Connect an LFO to create a tremolo effect. Or connect an expression pedal module or MIDI input for an external volume control. 	The State Variable Filter will resonate and cutoff around a set frequency. 	A general purpose filter with gain, frequency, and Q controls. Configurable as a high pass, low pass, band pass, bell, hi shelf, or low shelf. 	The Delay Line is a simple module that takes audio at the input and delays it by a set amount of time. There is no dry signal, there are no repeats. You can create repeats by connecting the output back to the input, using the connection strength to adjust number of repeats. 	The Delay Line is a simple module that takes audio at the input and delays it by a set amount of time. There is no dry signal, there are no repeats. You can create repeats by connecting the output back to the input, using the connection strength to adjust number of repeats. 	Audio Panner takes either one or two input channels and pans them between two outputs. Connect an LFO for a stereo tremolo effect. 	Pitch Shifter transposes the pitch of incoming audio. Click the knob on the pitch shift parameter to cycle views of CV value, semitones, or cents. Connect an LFO to produce a vibrato effect, or connect whatever you'd like! 	Audio Balance mixes an output from 2 inputs. You can run this module either mono or stereo. 	Audio Balance mixes an output from 2 inputs. You can run this module either mono or stereo. 	Audio Mixer functions like a stripped down mixing console, where gain is your channel fader and you can place an optional pan control. Mix up to 8 channels, in mono or stereo. 	"The Inverter module takes incoming audio signal and inverts the sound wave 180 degrees out of phase. This module is inaudible unless you have a phase related problem you are trying to solve, in which case it can be very audible. Be sure to put a 1 Buffer Delay module into your ""dry"" side to line up the Inverter in time for proper phase cancellation. "	Audio In Switch takes a selected quantity of audio inputs and allows you to switch between them to a single output. You can use this to select between instruments at your input jacks, use it in conjunction with the Audio Out Switch to select between effects chains, or use it anywhere you'd like to be able to select between incoming audio sources using CV. 	Audio Out Switch takes an audio input and routes it between a set quantity of audio outputs. You can use it at your output jacks to select between amplifiers or mixer channels, use it in conjunction with the Audio In Switch to select between effects chains, or use it anywhere you'd like to be able to select an outgoing audio path using CV. 	All Pass Filter passes through all frequencies at equal gain, but changes phase relationship between them. 	Generates white noise from a single button. Use the strength of your connection as a level control. Helpful in connection with VCAs and ADSRs in creating drum sounds, etc. 	Takes one audio input and mathematically multiplies it with the other. This produces a ring mod/vocoder-like effect. This module likes hot signals to be sure to bump the connection strengths. Remember that silence at any one of the inputs will result in silence at the output! 	Bit Crusher produces distortion by reducing audio bandwidth by a set number of bits. Distortion becomes audible around 20 bits reduced. This effect can get noisy so try it with a gate. 	Aliaser produces samples of incoming audio and compares them against each other to find imperfections. These imperfections become the outgoing audio. As sample count grows, so too does the thickness of the outgoing sound. This effect is a signal hog so be sure to boost your connection strengths incoming and outgoing. Try connecting a LFO or envelope follower to the alias amount. 	Delays internal audio signal by 1 buffer. This module is inaudible, but useful anywhere you need to line up internal parallel audio connections precisely. 	The Looper module allows you to record, overdub, and play back incoming audio, forwards or backwards, at the speed of your choice (pitch shifted). Get loopy! 	Granular breaks up incoming audio into tiny little grains and spits them back out in the quantity and shape of your choosing. Go from modest textures to completely unrecognizable oscillations. Granular can also be used as a granular delay by creating a feedback path from the output back to the input... 	Stereo Spread will take one or two channels and enhance their stereo field. This is generally used right before an audio output module but, as always, feel free to experiment! 	Stereo Spread will take one or two channels and enhance their stereo field. This is generally used right before an audio output module but, as always, feel free to experiment! 	"Bit Modulator takes one audio input and compares it against the other, creating an unholy glitchy combination of both sounds at the output. Choose between 3 different logic flavours with the ""type"" option. When taking audio from an external source, it's recommended to put a gate before the input. "	Diffuser spreads your signal across the galaxy like so many shimmering little stars. On it's own it sounds like a modulated slapback delay with no dry signal, but it can be used to construct many a tonal/atonal masterpiece. 	The Low Frequency Oscillator is one of the workhorse modules of the ZOIA. This will generate CV in the waveform and range of your choosing. Connect it to a sequencer to cycle through steps, to an audio effect to swing it's parameters around, or to any outboard piece of gear through a MIDI or CV interface module. The connection strength you enter at the output will determine the maximum sweep of the LFO. 	"The sequencer allows you to create a number of ""steps"" (1-32) that can be cycled through, and each step can be used to send a CV value out of that tracks output. The sequencer can have up to 8 tracks, each with their own unique output so it's possible to create complex melodies or rhythmic patterns. Try connecting an LFO to the sequencer's gate input to start the sequencer cycle. Then connect the sequencer output to an oscillator, a cv track to the oscillator's frequency input, and set each step to a different note. Now your ZOIA is playing itself! note: the first track on the sequencer can have each step controlled directly by other CV sources as well. "	The Attack Decay Sustain Release module is what gives a note generated from an oscillator a natural sounding envelope when played from a keyboard. Connect your oscillator or other audio source to the input of a VCA, and connect the CV output of the ADSR to the CV input on the VCA. Connect the keyboard or MIDI note gate out to the CV input of the ADSR and you've got yourself a simple synthesizer! Tweak the values to taste, or connect them to other CV inputs for experimentation. Use the optional retrigger input to restart the envelope around a note that is played before the ADSR is released. 	Sample and Hold will take the CV value at the input and hold it in place at the output until triggered to look again at the input and update the output. Connect a LFO to the trigger to convert smooth changes in CV into stepped changes in CV. The speed of the LFO will determine the perceived resolution of the CV output. 	Inverts the incoming CV. For example, a CV input of 1 will output as -1. An input of 0.2 will output as -0.2. 	"CV Rectify will interpret incoming CV from -1 to 1 and ""flip"" the negative values into positive values equidistant from 0. "	Value allows you to connect to multiple modules and adjust their parameters simultaneously from one CV adjustment at the input. 	Creates a very short CV pulse (value of 1) on detection of upward CV input. This is useful in creating a tap tempos from regular or irregular CV waveforms, triggering sequencers or ADSRs at specific times, etc. 	This is essentially a latching CV switch with an output of 0 or 1. When the input sees an upward CV change, the flip flop is triggered to change it's output state from 0 to 1 at the next upward change in CV, which must occur after a downward change in CV. So, the flip flop changes from 0 to 1 at every other upward change in CV. 	CV Delay will take incoming CV and delay it in time by a set amount. 	CV Loop functions similar to an audio looper except records patterns of CV signal instead of audio. You can record and play back snippets of LFOs, sequences, changes in CV or MIDI control etc. 	CV Filter dictates the length of time a CV output will take to respond to a change in CV input, determined by the time constant. The CV change occurs logarithmically for a nice smooth transition. Use this module in series with a MIDI/keyboard note to add portamento to your synth voice. You can also use this module to vary the shape of an LFO waveform or connect to a stomp switch to produce a long slow change in an audio effect. 	Slew Limiter is similar in behaviour to CV Filter except that the rate of change in changes of CV happen linearly instead of logarithmically. This is the classic portamento, and can be used anywhere CV changes occur to give them a different feel. Try using an unlinked Slew Limiter with a stomp switch module to give more expression pedal-like behaviour to your stomp switch. 	Slew Limiter is similar in behaviour to CV Filter except that the rate of change in changes of CV happen linearly instead of logarithmically. This is the classic portamento, and can be used anywhere CV changes occur to give them a different feel. Try using an unlinked Slew Limiter with a stomp switch module to give more expression pedal-like behaviour to your stomp switch. 	Clock Divider module will detect tempo of incoming CV upward changes, divide it by a user determined ratio, and output CV triggers at the resulting tempo. This can be a handy way of getting a tap tempo from a slightly irregular waveform. 	Comparator is a logic module that will switch CV on if positive input is equal to or greater than negative input, and off if positive input is less than negative input. Off can be defined as 0 or -1 by the output range. This can be useful if you'd like to have something happen, but only above a certain threshold. 	In Switch takes a selected quantity of CV inputs and allows you to switch between them to a single CV output. You can use this to select between LFOs to a CV source, external CV modules, or use in conjunction with the CV out switch to choose between ADSRs or other CV module chains 	Out Switch takes a CV input and routes it between a set quantity of CV outputs. You can use it to select which sequencers, ADSRs, or tap tempos to send triggers to, etc. 	Quantizer will interpret incoming CV and send its nearest equivalent note as a CV output. 	Steps will interpret incoming changes in upward CV as a tempo, split the wave cycle into a set number of steps, and then send the CV present at the input during each step to the output. You can use this to convert a nice smooth LFO and reduce its resolution into steps. 	Multiply will take the CV signal present at each input and multiply them together at the output. In this way you can use one CV source to amplify, tame, or modulate another. Remember that a value of 0 at any input will result in 0 at the output. It's math! 	Random will generate numbers continuously or when triggered with the option trigger in. Connect an LFO to the trigger in to get regularly updated random numbers. Try it with a CV in switch to toggle some randomness into your life. 	Rhythm will take an incoming CV signal, interpret it as a series of triggers, record those triggers and play them back at the output. 	Onset Detector looks for incoming audio signal and generates a CV trigger at the peaks. Use a regular audio source to advance a sequencer, tap a tempo, etc 	Envelope Follower will interpret an incoming audio signal as a CV signal based on its signal strength. Use this to trigger filter sweeps, audio effects parameters, LFO rates, etc. The connection strength can act as a sensitivity control. 	Pitch Detector interprets the pitch of a connected audio signal as a CV note output, which can be sent to an oscillator or quantizer. You can affect the tracking by changing the connection strength between the audio source and the audio input, and transpose which note the oscillator will generate using the connection strength to the oscillator. 	Tone Control is a 3 or 4 band tone control. Use this in conjunction with Distortion, Delay w/Mod, Reverb, or even a clean sound to fundamentally change its character. 	"Delay is one of the classic delay effects. Delay w/Mod differs from the Delay Line module found in Audio Out in that it runs a dry signal alongside the wet, has a feedback section, and a modulation section. Set the delay time either by tap or rotary/CV input. Optional stereo outputs round out the list of features. You can change the character of the delay effect with the ""type"" option, and/or by setting your mix to wet only, adding tone control and other effects to the output, and connecting your audio source directly to your output (bypassing the delay module) to act as the dry signal. "	Ping Pong Delay is almost identical to the Delay w/ Mod except for one key aspect: the delay repeats ping pong from left to right across stereo outputs. When stereo inputs are selected, one input will ping while the other pongs, followed by a pong while the other pings into the opposite and then correct outputs. 	The OD & Distortion module provides classic overdrive and distortion tones. 	The Fuzz module provides gnarly fuzz tones for your sonic enjoyment. 	Compression is a vastly useful audio tool that controls your signal level according to changes in input level. You can create natural reductions in gain to help things mix better, help tame or enhance transients in synth or instrument signals, etc. The optional stereo side will trigger the module's functions in unison on both channels, creating true stereo compression. 	A standard in studio audio tools, gate can also be used as the key ingredient in gated fuzz tones. Use it to filter out noise from an audio source, or to cut the end off of a reverb's decay, thus creating the classic gated reverb sound. Make sure to experiment with the sidechain input! 	Bask in the ebb and flow of steel molecules as they vibrate with the warm vintage vibe of so many classic recordings. 	It's like you're there, looking up at the pulpit, with the warm sun casting in beams of coloured light from the stained glass windows. You're in reverb heaven, now. 	Well, you're cooped up in your little room. But that's okay, because you've got some tasty room reverb to swim around in. Don't worry, somebody will come get you out someday. 	A spooky, ghostly reverb sound akin to the Ghost mode found in the Empress Reverb. Scare the crap out of all your friends! 	A straightforward CPU friendly reverb sound to add some smoosh to heavier workload patches. 	Set to stun, Phaser shifts the phase over a set quantity of stages and sweeps the frequency of these poles at a set rate. An optional stereo channel rounds out the list of features. 	The classic chorus effect. A nice sounding, fairly standard chorus. Get wackier sounds from it by using CV direct, or build your own from LFOs and delay lines! 	Vibrato is your typical pitch bending, wet only sound you'd find on such classic units as the Empress Nebulus, just to name one. Get bendy! 	ZOIA's Flanger module is borrowed right from the Empress Nebulus. This quite versatile flanger encompasses lots of comb filtering territory, but don't hesitate to build flange tones yourself using LFOs and delay lines! 	Up and down, side to side. Tremolo helps your smile get wide. Set speed and depth and tap in a tempo if you like. If you'd like a tremolo effect with more control, try creating one using the VCA or Audio Panner along with LFOs and various other CV tools to get radical! 	Get your quack on! This fully featured envelope filter has everything you need to tune in that perfect envelope filter and get funky. Great on guitar, bass, or anything else! 	A gnarly ring modulation effect. A robot's nightmare, a tweaker's delight! 	A versatile guitar cabinet simulator 
2	3	10	2	2	2	3	3	4	4	2	2	4	5	2	2	6	5	6	6	4	5	6	3	4	7	13	2	5	5	4	1	3	4	3	2	14	11	4	5	4	6	7	12	11	3	2	2	3	2	2	3	9	3	3	4	4	4	5	5	2	3	4	3	5	3	5	2	10	9	11	5	5	9	8	8	8	8	8	6	10	10	8	11	8	10	7	5
interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	interface	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	audio	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	analysis	analysis	analysis	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect	effect
*input L 	*output L	note out	cc value	pressure	cc value	cc out	pc out	note in	cv output	cv/audio in	in	switch	note (#)	no modifier	no modifier	frequency	audio in 1	audio in	audio in	audio in	audio in	audio in 1	audio in	audio in1	audio in1 L	inL 1	audio in	audio in 1	audio in	audio in 	audio out	audio in 1	audio in	audio in	audio in	audio in	audio in	audio in	audio in 1	audio in 1	audio in	Freq./trig. in	step 1	cv input	CV input	CV input	CV input	value	CV input	CV input	CV input	CV input	CV input	CV input	CV input	CV input	CV + input	CV input 1	CV input	CV input	CV input	CV input	*trigger in	rec start-stop	audio in	audio in	audio in	aud in L	audio in1	audio in1	audio in	audio in	audio in	audio inL	input L	input L	input L	audio in1	input L	input left	input left	input left	input left	audio inL	audio in1	audio in	audio in1
*input R	*output R	gate out	@Midi Channel	@Midi Channel	@Midi Channel	@Midi Channel	trigger in	gate in	Stompswitch 	@Control 	*CV output	cv output	note out	@Out Range	@Input Range	*FM input	*audio in 2	frequency	*gain	delay time	mod. in	*audio in 2	pitch shift	audio in2	audio in1 R	*inR 1	audio out	*audio in 2	out select	filter gain	outputs white noise generated by module	audio in 2	crushed bits	alias amount	audio out	record	*audio inR	delay time	audio in 2	audio in 2	gain	*swing	*step 2	*retrigger	trigger	CV output	CV output	CV output	CV output	CV output	delay time	record	time const.	slew rate	rising lag	reset switch	CV - input	*CV input 2	out select	CV output	quant steps	CV input	CV output	rhythm in	*sensitivity	*rise time	pitch out	*aud in R	*audio in2	*audio in2	input gain	input gain	*audio inR	*audio inR	input R	input R	input R	*audio in2	*input R	*input right	*input right	input right	*input right	*audio inR	*audio in2	Freq./ext in	*audio in2
connects audio from left pedal input jack	*gain	*velocity out	detects control change value from 0 - 127	detects pressure of key after note is played. Pressure is additive when multiple keys have pressure applied	outputs a square wave LFO whose period is the detected BPM	@Controller 	@Midi Channel	velocity out*	@Action 	control the brightness of the led by sending either cv or audio in, depending on how it is configured in the Options menu	displays colour/brightness selected by user or by CV input. use this button with optional CV output to send CV by pushing it.	@Action 	gate out	expresses value of either expression pedal or control voltage sensed by Control Port as a numerical value.	interprets value from a module and sends it out the Control Port on the ring of the connector as a control voltage signal from 0-5 volts	*duty cycle	level control	resonance	frequency	audio out	tap tempo in	pan	audio out	mix	audio in2 L	inL 2	audio input to be inverted	in select	audio out 1	audio out	.	audio out	audio out	audio out	connects audio to be delayed	restart	grain size	audio out 1	side gain	audio out	size	*phase input	*step 3	*delay	CV output	CV input to get inverted	dial in a CV value to be generated	@output 	connect CV to be triggered from	connect CV to be analysed	CV output	play	CV output	CV output	falling lag	clock ratio	CV output	in select	CV output 1	set or connect CV source	CV output	CV output	@output 	play	CV output	*fall time	connect audio input	low shelf	delay time	delay time	output gain	output gain	threshold	threshold	decay time	decay time	decay time	decay/feedback	decay time	control in	control in	control in	control in	control in	sensitivity	*duty cycle	audio out1
connects audio from right pedal input jack 	connects audio to left pedal output jack	*trigger out	determines which MIDI channel the module will send to	determines which MIDI channel the module will send to	determines which MIDI channel the module will send to	sends control change value from 0 - 127	sends program change value from 0-127	@Midi Channel	@Normally 	select either cv or audio	outputs CV of 1 when in button is pushed	@Normally 	trigger out	determines range of CV output from from 0 to 1  or -1 to 1	select if you'd like your input to be interpreted as a value from 0 to 1 or as a value from -1 to 1. This will then be sent as a control voltage from 0-5 volts	audio out	audio out 1	low output	q	@max time 	audio out	audio out 1	connects audio from source into pitch shifter	audio out1	audio in2 R	*inR 2	inverted audio output	audio out	*audio out 2	@# of poles 	.	connects audio in to multiplier	@fractions 	connects audio in to aliaser	outputs delayed audio	*stop/play	grain position	audio out 2	audio out 1	@type 	mod width	*phase reset	*step 4	attack	CV input to get sampled/held	inverted CV output	CV value	input a CV value to be shared. click knob to toggle between CV value and music note	outgoing CV trigger	outputs either 0 or 1 CV, as determined by the flip flop	connect CV to delay. An increase in threshold here will add adjustment to outgoing CV	speed	connect CV to filtered	connect CV source	CV output	CV output	@output 	CV output	*CV output 2	outputs CV corrected to match closest note	connect CV source	@num inputs 	a change in CV here will generate a new random number and hold it at the output	*play done	connect audio input	CV output	interprets pitch of incoming audio into a music note	mid gain 1	feedback	feedback	audio out	audio out	*attack	attack	low eq	low eq	low eq	rate	mix	resonance	width	width	regeneration	depth	min freq	mix	*audio out2
.	connects audio to right pedal output jack	@Midi Channel 	.	.	.	determines which MIDI channel the module will send to	triggers 	sends played note value through selected MIDI channel	toggles state of stompswitch as determined by edit options	.	.	push button to engage switch	@# of notes 	.	.	@waveform	*audio out 2	*hi output	audio out	connects audio into delay line	@max time 	audio out 2	shifts the pitch of the audio from input sources. Click the knob to toggle between CV factor, semitones, or notes	connect audio source to be balanced	mix	gain 1	.	@# of inputs 	@# of outputs 	connects audio from source into all pass filter	.	connects audio in to multiplier	connects audio in to bit crusher	depth of alias differential	.	speed/pitch	density	connects audio source to be enhanced	audio out 2	connect an audio source	mod rate	output	gate in	*hold A/D	a rise in CV will trigger input to be held at output until next trigger	.	.	CV output	.	.	determines how long to delay CV for before sending to output	*start position	determines length of time to fully respond to CV change	determines slew rate. This time value changes the speed at which the CV source responds to changes from its current value.	connect CV source	connect CV for tempo detection	sets incoming CV positive threshold	@num inputs 	@num outputs 	.	select number of steps from 2 to 63. A higher quantity of steps results in a smoother output wave.	set or connect CV source	generates constantly refreshing random numbers until stopped by optional trigger	rhythm out	determines signal strength at which incoming audio triggers outgoing CV	@output scale	.	mid freq. 1	mod rate	mod rate	@model 	@model 	*release	release	high eq	high eq	high eq	resonance	output L	width	tone tilt eq	output left	width	audio outL	max freq	audio out	@type 
.	selects output gain of pedal from +20dB to -100dB	@# of outputs 	.	.	.	determines which controller # the module will send control change message to	determines which MIDI channel the module will send to	sends played note on/off status through selected MIDI channel	select the desired behaviour of the switch. If you'd like it to stay engaged, choose latching. If you'd like it to only be engaged while pressed, choose momentary	.	.	toggles state of switch as determined by edit options	plays note when pushed, like a keyboard	.	.	@upsampling	connects output of another audio source to gain stage	*band output	@filter shape 	delays audio playback by set time	connects audio into delay line	@pan type 	outputs pitch shifted audio	connect second audio source to be balanced	audio outL	gain 2	.	connects audio to switch	connects audio to switch	determines gain of phase shift	.	multiplied audio output	determines number of bits to reduce sonic resolution by	outputs aliased audio	.	*start position	texture	amount of delay applied to audio out 2	connects audio source to be enhanced	connect another audio source	audio out	@waveform 	*queue start	decay	CV output will hold CV value at input when CV applied to trigger input	.	.	determines range of CV output from from 0 thru 1  or -1 thru 1	.	.	outputs delayed CV	*stop position	filtered CV output	outputs slew limited CV	determines time change factor of upward changes in CV	an increase in CV will cease output, a new tap tempo at the input will continue on until reset switch is triggered again	sets incoming CV negative threshold	set or connect CV source	set or connect CV source	.	outputs quantized CV	set or connect CV source	determines range of CV output from from 0 to 1  or -1 to 1	Goes high when playback is done.	sends CV trigger when incoming audio surpasses threshold	connect audio input	.	*mid gain 2	mod depth	mod depth	connect audio input	connect audio input	*ratio	*sidechain in	mix	mix	mix	mix	*output R	mix	mix	output right	tone tilt eq	*audio outR	filter Q	waveform 	connect audio input
